vartotojo_id,sesijos_id,data,wpm,tikslumas,klaidos,trukme_sekundemis,sudetingumas
1,1,2025-01-02,54.6,86.17,3,60,lengvas
1,2,2025-01-03,54.53,87.97,3,60,lengvas
1,3,2025-01-04,53.46,88.01,3,60,vidutinis
1,4,2025-01-05,63.41,85.52,2,60,vidutinis
1,5,2025-01-06,52.08,85.58,4,60,vidutinis
1,6,2025-01-07,55.25,88.33,3,60,vidutinis
1,7,2025-01-08,47.13,89.58,4,60,sunkus
1,8,2025-01-09,50.23,86.27,4,60,vidutinis
1,9,2025-01-10,53.44,83.91,4,60,vidutinis
1,10,2025-01-11,54.54,87.9,2,60,sunkus
1,11,2025-01-12,51.42,88.88,3,60,vidutinis
1,12,2025-01-13,56.85,89.5,2,60,lengvas
1,13,2025-01-14,56.67,89.41,3,60,sunkus
1,14,2025-01-15,58.88,87.44,4,60,lengvas
1,15,2025-01-16,60.63,85.58,4,60,sunkus
1,16,2025-01-17,67.69,84.96,4,60,lengvas
1,17,2025-01-18,65.7,86.86,2,60,vidutinis
1,18,2025-01-19,49.26,90.74,3,60,lengvas
1,19,2025-01-20,61.56,84.8,4,60,lengvas
1,20,2025-01-21,68.25,87.41,4,60,vidutinis
1,21,2025-01-22,63.77,87.69,4,60,lengvas
1,22,2025-01-23,56.27,85.86,3,60,lengvas
1,23,2025-01-24,57.94,85.52,2,60,sunkus
1,24,2025-01-25,65.2,84.59,4,60,lengvas
1,25,2025-01-26,62.4,85.18,2,60,vidutinis
1,26,2025-01-27,65.43,82.63,3,60,vidutinis
1,27,2025-01-28,67.38,83.68,5,60,lengvas
1,28,2025-01-29,69.02,84.94,5,60,vidutinis
1,29,2025-01-30,67.51,83.05,5,60,sunkus
1,30,2025-01-31,69.12,84.18,3,60,sunkus
2,1,2025-01-02,63.92,86.36,2,60,lengvas
2,2,2025-01-03,60.4,84.86,3,60,vidutinis
2,3,2025-01-04,57.84,86.94,4,60,sunkus
2,4,2025-01-05,66.04,83.2,5,60,sunkus
2,5,2025-01-06,67.49,88.08,3,60,sunkus
2,6,2025-01-07,82.43,82.43,4,60,sunkus
2,7,2025-01-08,70.76,85.39,4,60,lengvas
2,8,2025-01-09,68.25,82.16,4,60,lengvas
2,9,2025-01-10,65.77,86.22,4,60,vidutinis
2,10,2025-01-11,63.62,84.18,5,60,sunkus
2,11,2025-01-12,64.64,83.08,3,60,lengvas
2,12,2025-01-13,71.08,83.65,4,60,sunkus
2,13,2025-01-14,68.01,88.65,2,60,vidutinis
2,14,2025-01-15,72.77,83.36,4,60,sunkus
2,15,2025-01-16,66.8,83.52,4,60,lengvas
2,16,2025-01-17,71.57,81.88,5,60,sunkus
2,17,2025-01-18,68.6,85.69,3,60,sunkus
2,18,2025-01-19,70.51,82.71,4,60,sunkus
2,19,2025-01-20,75.39,79.76,5,60,vidutinis
2,20,2025-01-21,74.64,80.42,5,60,lengvas
2,21,2025-01-22,67.18,87.78,3,60,vidutinis
2,22,2025-01-23,67.17,86.44,3,60,lengvas
2,23,2025-01-24,71.12,85.03,2,60,vidutinis
2,24,2025-01-25,78.52,81.06,5,60,sunkus
2,25,2025-01-26,73.67,82.41,4,60,lengvas
2,26,2025-01-27,65.98,83.58,4,60,sunkus
2,27,2025-01-28,67.49,85.74,2,60,vidutinis
2,28,2025-01-29,74.22,80.15,5,60,vidutinis
2,29,2025-01-30,69.39,84.31,5,60,lengvas
2,30,2025-01-31,72.54,83.64,3,60,lengvas
3,1,2025-01-02,31.41,89.73,4,60,lengvas
3,2,2025-01-03,41.6,89.25,2,60,sunkus
3,3,2025-01-04,40.9,88.32,4,60,lengvas
3,4,2025-01-05,38.31,88.92,3,60,lengvas
3,5,2025-01-06,23.77,90.93,2,60,sunkus
3,6,2025-01-07,34.7,86.99,2,60,lengvas
3,7,2025-01-08,48.74,88.72,4,60,sunkus
3,8,2025-01-09,44.69,88.52,3,60,sunkus
3,9,2025-01-10,45.68,86.94,2,60,vidutinis
3,10,2025-01-11,55.84,84.72,5,60,lengvas
3,11,2025-01-12,44.14,89.48,4,60,vidutinis
3,12,2025-01-13,38.55,90.59,3,60,lengvas
3,13,2025-01-14,48.61,88.04,3,60,vidutinis
3,14,2025-01-15,53.32,91.17,2,60,sunkus
3,15,2025-01-16,44.27,88.77,4,60,vidutinis
3,16,2025-01-17,43.8,88.81,2,60,lengvas
3,17,2025-01-18,42.5,91.18,3,60,sunkus
3,18,2025-01-19,43.91,88.02,3,60,lengvas
3,19,2025-01-20,50.95,87.0,2,60,sunkus
3,20,2025-01-21,46.4,85.95,4,60,sunkus
3,21,2025-01-22,53.15,84.47,4,60,lengvas
